SSN	First Name	Last Name	House Number	Street Address	City	State	Zip	DOB-Day	DOB-Month	DOB-Year	Phone	Occupation	Salary	TruthFileRowNum
208-21-3564	Walter	Johnson	601	Cherry Blvd.	Baltimore	MD	21212	29	7	1929	(410) 475-4717	Chief Executive	$136,555.00 	2
236-10-5542	Dorey	Connie	18	North Ave.	Elgood	WV	24740	21	3	1925	(304) 436-7969	Food Servers, Nonrestaurant	$16,983.00 	3
250-67-1413	James	Kurtz	1209	Church Ave.	Aiken	SC	29801	10	8	1944	(803) 507-7329	Customer Service Representative	$27,193.00 	4
551-12-9616	Monica	Butler	1412	EXRidge Dr.	Brooklyn	NY	11215	1	30	1929	(925) 385-6646	Real Estate Sales Agent	$43,414.00 	5
601-28-5870	QJames	Plair	438	Church Blvd.	Mesa	AZ	85201	3	6	1976	(520) 796-6417	Educational, Vocational, and School Counselor	$45,285.00 	6
680-30-3400	Dennis	Mcbride	2102	Hickory Dr., Apt. 31	Berwyn	PA	19312	6	12	1934	(702) 723-6879	Teacher Assistant	$19,261.00 	7
163-18-1061	Nutting	Geraldine	1316	Thirteenth Blvd.	Altoona	PA	16601	11	2	1949	(814) 327-5531	Food Preparation and Serving Related Occupation	$17,907.00 	8
167-72-3807	Marcella	Dewberry	2411	Railroad Blvd.	Manheim	PA	17545	8	6	1945	(717) 664-8442	Nursing Aide, Orderly, and Attendant	$19,664.00 	9
563-52-1384	Carl	AMoxley	811	Fifth St	Stanford	CA	94305	6	3	1935	(650) 345-2428	Cook, Institution and Cafeteria	$19,805.00 	10
534-72-7183	Michael	Garver	359	Ridge Street	Tacoma	WA	98405	4	4	1907	(253) 404-7440	Retail Salesperson	$21,448.00 	11
609-22-6336	Alejandro	Fields	1741	Washington Dr	Lawndale	CA	90260	2	5	1973	(310) 589-3158	Laborer and Freight, Stock, and Material Movers, Hand	$21,091.00 	12
444-10-0689	Huffman	Jacqueline	2987	Broadway Ave.	Kerrville	TX	78028	29	7	1976	(405) 234-3692	First-Line Supervisor/Manager of Construction Trades and Extraction Worker	$53,186.00 	13
375-62-2101	John	Branch	1576	Second Avenue	Detroit	MI	48205	1	12	1919	(248) 472-5912	Helper--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setter	$27,874.00 	14
002-14-7112	Justin	Eckert	151	WTRidge Ave.	Nashua	NH	3060	28	2	1956	(603) 804-2019	Executive Secretary and Administrative Assistant	$35,036.00 	15
370-36-1518	Jason	OMitchell	204	Elm Ave	Southeast	MI	48529	2	3	1910	(517) 915-9543	ARetail SalespersonRF	$22,500.00 	16
588-04-2004	Perry	Durant	502	ZGMain Street	Laurel	MS	39440	18	6	1904	(601) 425-6312	Sales Representative, Wholesale and Manufacturing, Except Technical and Scientific Product	$48,745.00 	17
345-50-8410	Thelma	Alejandre	2407	Center Street	Henderson	KY	42420	17	3	1943	(815) 287-6593	Correctional Officers and Jailer	$33,093.00 	18
376-28-2072	Douglas	Creek	384	Franklin Dr	Brighton	MI	48116	4	29	1922	(810) 220-2552	Civil Engineer	$64,579.00 	19
003-76-0042	Daniel	Plantenberg	2308	Johnson Dr	Bristol	NH	3222	10	6	1915	(603) 744-7312	Executive Secretary and Administrative Assistant	$36,628.00 	20
384-07-2245	Christopher	McMillin	2534	Taylor Blvd.	Novi	MI	48377	1	14	1991	(248) 529-0980	Counter and Rental Clerk	$19,120.00 	21
225-79-5525	Goss	Herman	2722	Fourth St	Poquoson	VA	23662	22	8	1979	(757) 597-4059	Registered Nurse	$48,211.00 	22
002-01-7104	Marjorie	Banks	1203	Main Dr.	Des Moines	IA	50315	19	12	1942	(603) 732-9338	Kindergarten Teacher, Except Special Education	$40,779.00 	23
769-12-2302	Juanita	Perdue	2294	Pine Dr.	Tampa	FL	33617	20	10	1982	(813) 221-4379	Hairdresser, Hairstylist, and Cosmetologist	$21,244.00 	24
554-25-7194	Nancy	Pace	474	Lincoln Avenue, Apt. 24	Visalia	CA	93277	6	9	1941	(760) 531-1681	Coating, Painting, and Spraying Machine Setters, Operators, and Tender	$26,993.00 	25
227-85-5743	Alfred	Humes	588	Lake Ave, Apt. 3	Charlottesville	VA	22901	3	9	1956	(540) 778-9397	Mechanical Engineer	$67,999.00 	26
531-96-8222	Carl	Cooper	335	ONBirch Dr.	Opa Locka	FL	33054	24	10	1913	(425) 754-4495	Civil Engineer	$63,605.00 	27
363-38-2964	HMark	Diaz	2025	Oak Ave	Wyoming	MI	49509	10	11	1976	(231) 555-6735	Industrial Truck and Tractor Operator	$27,485.00 	28
365-07-1185	Louise	Chen	427	Third Dr	Wakefield	MI	49968	7	2	1930	(906) 224-4542	AManagement AnalystZQ	$71,877.00 	29
