563-52-1384,C1_2030
307-56-2498,C2_2030
483-38-8073,C3_2030
223-76-0400,C4_2030
099-46-8883,C5_2030
681-01-6615,C6_2030
286-54-2711,C7_2030
637-72-8640,C8_2030
456-14-2519,C9_2030
682-01-7477,C10_2030
237-66-7629,C11_2030
541-20-0900,C12_2030
388-88-4875,C13_2030
534-72-7183,C14_2030
171-62-0896,C15_2030
351-90-4387,C16_2030
182-26-7283,C17_2030
512-40-6361,C18_2030
442-42-0012,C19_2030
221-34-9000,C20_2030
390-86-7172,C21_2030
764-28-3358,C22_2030
367-10-0347,C23_2030
545-02-1752,C24_2030
610-22-6336,C25_2030
033-44-8380,C26_2030
156-64-6034,C27_2030
284-56-9229,C28_2030
431-02-8211,C29_2030
416-04-3541,C30_2030
548-22-2533,C31_2030
467-06-5840,C32_2030
621-54-1703,C33_2030
683-03-0508,C34_2030
372-94-5728,C35_2030
444-10-0689,C36_2030
364-28-4185,C37_2030
488-07-5472,C38_2030
448-58-2956,C39_2030
672-10-3326,C40_2030
138-12-0138,C41_2030
148-03-5427,C42_2030
478-50-6850,C43_2030
452-59-1728,C44_2030
688-03-2837,C45_2030
363-40-2967,C46_2030
375-62-2101,C47_2030
289-02-8548,C48_2030
010-44-3163,C49_2030
277-03-0233,C50_2030
766-20-6560,C51_2030
520-56-0776,C52_2030
542-13-3523,C53_2030
452-85-1730,C54_2030
171-26-0903,C55_2030
532-74-4111,C56_2030
427-57-7847,C57_2030
002-14-7112,C58_2030
461-84-0098,C59_2030
531-28-8246,C60_2030
275-58-1890,C61_2030
403-52-5878,C62_2030
033-01-8376,C63_2030
272-76-4018,C64_2030
109-01-1696,C65_2030
087-28-8782,C66_2030
217-55-1586,C67_2030
485-64-3416,C68_2030
370-36-1518,C69_2030
637-72-8613,C70_2030
595-07-5113,C71_2030
248-18-6510,C72_2030
663-01-0816,C73_2030
071-76-0721,C74_2030
416-01-3545,C75_2030
463-32-4671,C76_2030
764-10-3399,C77_2030
526-20-9381,C78_2030
423-26-3422,C79_2030
588-04-2004,C80_2030
129-60-6569,C81_2030
468-04-2576,C82_2030
388-24-4861,C83_2030
160-40-2580,C84_2030
558-02-1786,C85_2030
412-91-7545,C86_2030
647-05-5084,C87_2030
657-09-4015,C88_2030
364-04-4171,C89_2030
246-48-3568,C90_2030
346-50-8410,C91_2030
267-26-5267,C92_2030
030-58-0319,C93_2030
253-22-3657,C94_2030
651-10-8663,C95_2030
535-26-9574,C96_2030
420-56-8655,C97_2030
765-36-4446,C98_2030
223-59-0391,C99_2030
592-13-3833,C100_2030
520-64-0792,C101_2030
375-28-2072,C102_2030
246-12-3583,C103_2030
310-03-7553,C104_2030
143-76-3260,C105_2030
141-56-7128,C106_2030
630-07-7791,C107_2030
373-74-0143,C108_2030
535-12-9578,C109_2030
595-16-5098,C110_2030
232-10-5640,C111_2030
225-52-5526,C112_2030
213-21-3564,C113_2030
003-76-0042,C114_2030
086-84-9715,C115_2030
174-76-9647,C116_2030
555-46-3135,C117_2030
306-22-6160,C118_2030
088-22-3117,C119_2030
680-26-3405,C120_2030
544-01-6664,C121_2030
458-29-7853,C122_2030
380-48-5219,C123_2030
263-38-3475,C124_2030
384-07-2245,C125_2030
644-36-2554,C126_2030
432-88-7597,C127_2030
392-78-4336,C128_2030
